ID,KETERANGAN,TLP,Latitude,Longitude,Label
1001,Polrestabes_Makassar,411319277,-5.128871291996281,119.40862857598016,Polisi
1002,Polres_KPPP_Makassar,411317517,-5.131017343026347,119.40449952915385,Polisi
1003,Polsek_Panakukang,411442302,-5.157997601218193,119.44198884430324,Polisi
1004,Polsek_Rappocini,411868496,-5.178674419484254,119.44074153737112,Polisi
1005,Polsek_Biringkanaya,411510108,-5.111776570742179,119.50783047016077,Polisi
1006,Polsek_Tallo,411449329,-5.118284343496987,119.43521957873405,Polisi
1007,Polsek_Tamalanrea,411583504,-5.139019622463723,119.49273543387613,Polisi
1008,Polsek_Manggala,411491100,-5.1675047949324435,119.49260921305293,Polisi
1009,Polsek_Mariso,411873753,-5.1598171041027205,119.40777512140056,Polisi
1010,Polsek_Tamalate,411449345,-5.1696775504308565,119.40506545362811,Polisi
1011,Polsek_Mamajang,411872777,-5.147398530471002,119.41792130389567,Polisi
1012,Polsek_Bontoala,411453123,-5.127661979332251,119.42642927089497,Polisi
1013,Polsek_Ujung_Pandang,411310564,-5.134920274109592,119.40857977390132,Polisi
1014,Polsek_Ujung_Tanah,411436781,-5.111590184590452,119.42436933441994,Polisi
1015,Polsek_Wajo,411319267,-5.12028103074869,119.41298240419118,Polisi
1016,Polsek_Soekarno_Hatta,411334580,-5.115261155794371,119.4106253161089,Polisi
1017,Polsek_Paotere,411420082,-5.1109296041058885,119.42164265039824,Polisi
1018,RSU_Wahidin_Sudirohusodo,411584677,-7.4906654702888895,112.41999506949222,RS
1019,RSU_Pelamonia,411319381,-5.137919856933198,119.41496042209002,RS
1020,RSU_Labuang_Baji,411873482,-5.162383364335063,119.41831530859803,RS
1021,RS_Akademis_Jaury,411317343,-5.131093440712803,119.41474856255482,RS
1022,RS_Bhayangkara,411836344,-5.1744828829000555,119.41583352207886,RS
1023,RS_Grestelina,411458546,-5.162817637940128,119.44562585092602,RS
1024,RS_Stella_Maris,411873346,-5.143649859270929,119.408866349074,RS
1025,RS_Islam_Faisal,411853364,-5.162667035038092,119.43271065091484,RS
1026,RS_Angkatan_Laut_Jala_Ammari,4113617343,-5.115348019626925,119.41565759325401,RS
1027,RS_Awal_Bros,411454567,-5.134793134006279,119.43506357394205,RS
1028,RS_Pendidikan_Unhas,411591210,-5.133176956133336,119.49433452022681,RS
1029,RS_Tajuddin_Chalid,411512902,-5.111181782954653,119.51670406625885,RS
1030,RS_Umum_Daya,411513127,-5.113586988300404,119.51088567791,RS
1031,RS_Umum_Haji_Makassar,411856091,-5.177605271906413,119.4148362925025,RS
1032,RS_Umum_Luramay,4115067964,-5.165998512919236,119.437536250926,RS
1033,RS_Khusus_Daerah,411873120,-5.151069482236669,119.42193727301071,RS
1034,RS_Ibnu_sina,411452917,-5.137354016741429,119.44611132118297,RS
1035,RS_Primaya,411454567,-5.132139355528887,119.43521082359909,RS
1036,RS_Umum_Syech_Yusuf,411866536,-5.209958622027076,119.46269157124416,RS
1037,Posko_Timur,411422336,-5.161343044481305,119.44889210159404,Damkar
1038,Posko_Kima,4114723139,-5.095005338063773,119.50945397643093,Damkar
1039,Posko_Utara,411448415,-5.1214702809784685,119.43489491682591,Damkar
